Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,7a05df59-eef0-432b-b8be-7a15fccc2dfb,Annotation,,Follicle,Root object (Image),Polygon,11835.6,6848.8,186647.9,3998.4
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,6fb79ba1-4fb1-4e8b-80c7-ca5ef38b50ef,Annotation,,Follicle,Root object (Image),Polygon,5051.6,6479.2,238223.9,4037.8
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,1cccc1b6-a49b-4ddd-bb2c-05a36a0174d2,Annotation,,Follicle,Root object (Image),Polygon,4247.8,9372.7,59489.6,1837.5
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,f82d3f14-cf16-4308-b5fc-be96a78b2b41,Annotation,,Follicle,Root object (Image),Polygon,8887.2,9322.9,38172.2,1490.5
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,18d0ff55-e0a1-42e7-bf32-df0a61ca0ed2,Annotation,,Follicle,Root object (Image),Polygon,5057.9,4222.7,529282.1,7571
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,6e7bfeb7-02b3-4d53-bd0d-e06a35874ea2,Annotation,,Follicle,Root object (Image),Polygon,9189.3,4826,54343.5,2436.9
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,5965e212-2951-4ad3-987d-cd9d3ca4f588,Annotation,,Follicle,Root object (Image),Polygon,3863.5,8424.2,99419.3,2476.3
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,f525b667-f6de-4458-8399-fd86b10e4405,Annotation,,Follicle,Root object (Image),Polygon,5225.1,10381.6,72410.9,1687.7
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,82fb9706-9b6e-46f7-b34c-c16b914f04d3,Annotation,,Follicle,Root object (Image),Polygon,2714.1,7174.5,233232.3,3383.3
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,d8e791ed-f1e6-42d8-b1f9-b75bcab9f388,Annotation,,Follicle,Root object (Image),Polygon,8355.9,2772.9,14709.1,1190.8
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,ad1294f8-4e6c-4db4-9a80-09c0c9ea38cf,Annotation,,Follicle,Root object (Image),Polygon,10740.2,6154.7,153047,2484.3
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,abdaef0d-837a-4a73-a937-77fcc3ff8d20,Annotation,,Follicle,Root object (Image),Polygon,8662.2,2611,126956.5,2649.8
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,e99d0326-f154-462b-86b7-d72ba9fa754c,Annotation,,Follicle,Root object (Image),Polygon,13291.3,6892.8,68679.3,1640.4
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,2e5bc37b-33bc-41b7-b86b-b5ba1b3f35c5,Annotation,,Follicle,Root object (Image),Polygon,4138.9,5850,102078.1,2050.5
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,ee9a09ce-25e6-4e4c-8550-71ace4ed0e2d,Annotation,,Follicle,Root object (Image),Polygon,10495.9,8533.4,40256,1608.8
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,5356fe0d-b7f8-4b34-8640-68d259a2d966,Annotation,,Follicle,Root object (Image),Polygon,5462.6,6595.9,10199.9,694.01
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,8ab04541-4209-4bfe-b2ba-76849ecd56eb,Annotation,,Follicle,Root object (Image),Polygon,4139.5,10053.5,40675.7,1813.9
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,b534df79-838f-43c5-9e10-f3fdaa68e42e,Annotation,,Follicle,Root object (Image),Polygon,6048,3957.2,17492.6,1119.9
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,3cdadbc6-00b9-420d-b973-aa4602052554,Annotation,,Follicle,Root object (Image),Polygon,7573.2,4400.6,102062.6,2760.2
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,884b7926-dfbc-4f51-ba7f-f10b98abe68c,Annotation,,Follicle,Root object (Image),Polygon,11877.7,4503.6,57732.9,1766.6
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,327cd20d-0888-4ff5-afa3-48a912f89d1c,Annotation,,Follicle,Root object (Image),Polygon,9489.2,2589.6,342136.2,7121.4
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,8f11a66b-aa44-4e18-bbbb-71a8f18a4590,Annotation,,Follicle,Root object (Image),Polygon,7022.5,6497.5,12485.8,1001.6
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,5cfa389e-877e-42d8-841d-54b4e1ebb70d,Annotation,,Follicle,Root object (Image),Polygon,7329.6,5138.3,130703.3,3359.6
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,508c8156-e071-4ec8-855b-15203ad47e19,Annotation,,Follicle,Root object (Image),Polygon,5291,8738.6,12423.7,1127.7
HDL137_Spleen_HxE_1_179933_normalized.ome.tif - normalized,2f246a86-735e-4d3f-a6c7-39d19fd98cc8,Annotation,,Follicle,Root object (Image),Polygon,17458.2,9114.3,34984.7,1033.1
